"s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50","s51","s52","s53","s54","s55","s56","s57","s58","s59","s60","s61","s62","s63","s64","s65","s66","s67","s68","s69","s70","s71","s72","s73","s74","s75","s76","s77","s78","s79"
3.03451287441466,3.03526058236585,3.13419905569265,3.22474800496753,3.30761882295258,3.38346257960032,3.45287513714836,3.51640183147785,3.5745417565143,3.62775168533118,3.67644965876207,3.72101826971503,3.76180766899251,3.79913831623153,3.8334067306256,3.87429586971967,3.91381812274602,3.90589478792098,3.89883333876852,3.89237138910634,3.88679082733429,3.84878634301942,3.80202818282719,3.75840301190823,3.71846456670804,3.68202948567505,3.6535203823704,3.62749708889387,3.60368223256515,3.58245744750529,3.56247350260492,3.5441725700897,3.52742325964512,3.54639885589773,3.59064822564285,3.62952976172818,3.66427417682201,3.69604634913243,3.72512492812455,3.75246817220017,3.77684494667842,3.79907345797028,3.81941570438003,3.81548044556452,3.80984480013813,3.826901676226,3.85833055789685,3.88719763206826,3.91401863872984,3.93833216432168,3.9607746733743,3.98512467314243,4.00459847749636,4.01173775649747,4.02416922005661,4.03591855016938,4.04554626264477,4.05475778101103,4.06330790819495,4.07049326283782,4.07757028718836,4.08420650678817,4.08967369678991,4.09764764859892,4.10351641850495,4.10960398728737,4.11463200357232,4.11960422848222,4.1243659287195,4.1281531988431,4.13187025836175,4.13547737070774,4.13956112262936,4.14176066073619,4.14415674759839,4.14658688583201,4.14896269491928,4.15089543108758,4.15272624912269,4.15448640836568
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000896761481891696,-0.00238565775717401,-0.00349816165033059,-0.00443319750045375,-0.00531152608894328,-0.00612113499799317,-0.0068347983109411,-0.00751520189185538,-0.00814074204091126,-0.00868108098893796,-0.00920440290308355,-0.00965201656643559,-0.0100851733262967,-0.0104470047395224,-0.0107978016706521,-0.0111232731402537,-0.0113870344002907,-0.011649945308299,-0.0118987083759272,-0.0121143881118812,-0.0122862159613149,-0.012467229069991,-0.0126433121654954,-0.0128091979047545,-0.0129203208597953,-0.0130366583213472,-0.0131522146553226
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94071650288409e-05,0.000184851563808949,0.000281609358191363,0.000377198819320479,0.000456873633611339,0.000533940470122649,0.000606345060951732,0.000665208384251386,0.000723012117838514,0.000778110012747427,0.000832102585217974,0.000868669760528406,0.000907766708310306,0.00094608795926735,0.000982607529909108,0.00100961240672024,0.0010368307163139,0.00106327290839063
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000509970003930131,-0.00183822858083493,-0.00323031156784982,-0.00442996286440217,-0.00558502983568634,-0.00682801848596025,-0.00754122980125272,-0.00841788253409828,-0.00940808643496069,-0.00979186796070772,-0.0101459310030371,-0.0105235183142802,-0.0108942746993902,-0.0112321868768063,-0.0115288183428976,-0.0118132022754545,-0.0120717734630593,-0.0122170164858587,-0.012323607284052,-0.012350602601827,-0.0123796288407362,-0.0124077535745651,-0.0124385105633811,-0.0124643526111792,-0.0124877049252284,-0.0125135229751875,-0.0125365019737655,-0.0125529347146719,-0.0125632705633653,-0.0125835524561517,-0.0126028200480098,-0.0126183712321331,-0.0126249627906958,-0.0126307191724068,-0.0126377507308928
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000473804660946831,0.0118701766524436,0.0222895531238622,0.0318254153414972,0.040550051388638,0.0485374943493882,0.055847652806165,0.0625379437560571,0.0671649899999946,0.0703372892754763,0.0732855177498173,0.0760099694181419,0.078504072265074,0.0807866692035051,0.0828528832010219,0.0847644048670537,0.0865161283371487,0.0881193435366857,0.09032405106375,0.0923538769853624,0.0939876285385789,0.0955981293845533,0.0970662095107946,0.0983848574280682,0.0996104788600762,0.100709085124973,0.101403667617168,0.10217148655992,0.103155082754892,0.103708965853355,0.104238394799409,0.104773326179514,0.105254958907222,0.105691891936468,0.106109559335111,0.106477606151774,0.106809705023103,0.107126707440042,0.107391206005643,0.10762174913392,0.107823780989796,0.108025652202594,0.108199833862027,0.108353402095796,0.108511762281225,0.108648504448889,0.108767826741766,0.108864991399529,0.108981904322922,0.109082903908465,0.109169440084029,0.109244261545657,0.109323306627177,0.10939062248585,0.109449246260987
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189975251476119,-0.0412624064275525,-0.0626801226627384,-0.0814821803075055,-0.0991321149855849,-0.114860295471389,-0.129604638928596,-0.143525099286901,-0.158196884930441,-0.171514093374765,-0.183591463395262,-0.190119674925643,-0.197649208930235,-0.204889986561233,-0.211659163814996,-0.217835271812396,-0.223304217927957,-0.228463180663976,-0.233198520776068,-0.237308476436114,-0.241447175500113,-0.244741324978919,-0.247880985067709,-0.250641543297272,-0.253344643950355,-0.255846568607376,-0.257941200608636,-0.260025689366285,-0.261969153563211,-0.26381979318957,-0.265241533585875,-0.266678352876857,-0.268041161148273,-0.269302692026269,-0.270200783252696,-0.271161411388641,-0.272114211490712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01998454927418,0.0607725754744144,0.0979048471830582,0.131887809950143,0.162666466586835,0.19542413939439,0.225386211258864,0.253456061728529,0.279151077929316,0.30257742786905,0.32242529386734,0.340491045504818,0.357024147555247,0.371857503091347,0.385725172079593,0.398422523084669,0.410043299050679,0.418454513355659,0.423769441765457,0.428696367670349,0.433612673729597,0.438114037938556,0.442233446370974,0.445544147041196,0.449014485681366,0.452209903583057,0.455134096482889,0.45935929820713,0.462290429260109,0.462475333080073,0.462253976501801,0.461302953514878,0.460336337068241,0.459552545302395,0.458509990634057,0.45479935364659,0.452150033915915,0.450848214816497,0.448035385946516,0.445696859685634,0.443827041284901,0.442005090610978,0.440316338143848,0.43893560254282,0.437529829450802,0.436213953496937,0.4351682530618,0.433975520290702,0.432927226991873,0.431933218996994,0.43116206839955,0.430356069088219,0.429579929121903,0.429017105963441,0.428424055974315,0.427835295325135,0.427289791200389,0.426905499506892,0.426520873358159,0.426121173090772,0.425725425996865,0.425471326746227,0.42520749328082,0.424936419932741
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107621200235287,0.000657374251994517,0.00106436336490961,0.00138118598133528,0.00178526427633709,0.00219815243040983,0.00255163355475513,0.00287599164645326,0.00317394972091058,0.00343613315444225,0.00368434997541499,0.0039141913061616,0.00411534550398209,0.00431634393631689,0.00447304800205463,0.00463264315926353,0.00477346395947384,0.00490814924566448,0.00503346578393164,0.00513995601935684,0.00524232553471365,0.00533803480394161,0.00543920069289177,0.00550535384781851,0.00557371382021125,0.00563945226162546,0.00570141658953651,0.00575182315558267,0.00580168743550474,0.00584925615452168
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00588732831874642,-0.0154042982675316,-0.0239423115102154,-0.0316962313391958,-0.0387900147042534,-0.045282317358831,-0.0512674676616351,-0.0567091812698225,-0.061682180143512,-0.0662333248332037,-0.0747540807295406,-0.0840505499493107,-0.0930314650088434,-0.101130305569751,-0.108922566979423,-0.11588953280877,-0.122398021942178,-0.128156753483498,-0.131782626500548,-0.13557777980708,-0.140493926286911,-0.143975214928849,-0.146977800470949,-0.149827862666445,-0.152545648373863,-0.155033871233234,-0.157236566319613,-0.159325555768429,-0.161236079565769,-0.16290347467274,-0.164807830060181,-0.166349567909911,-0.167781533383692,-0.168993548116621,-0.170182380403248,-0.171285614842423,-0.172188797827561,-0.173093737264183,-0.173947331015966,-0.174687145312449,-0.175302809526907,-0.17593480595821,-0.176541136589003,-0.177105648896263,-0.177488550494224,-0.177889408185031,-0.178289497198596
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241414377815453,0.00652954637148993,0.0101738811063426,0.0135014201965306,0.0165656594110459,0.0193831836709592,0.0223070234784739,0.0247701928460292,0.0276016947955033,0.0312810132628388,0.0344960138111643,0.0372493853970436,0.039833020641576,0.0422132230222653,0.0442925606129175,0.0462815139760899,0.0481193571472553,0.0496876173012681,0.0513502740348049,0.0526812923925505,0.0540075859624832,0.0551300784836651,0.0562240442491808,0.0572474017011236,0.0580813533293965,0.058907012034914,0.0596897319815558,0.0604581358220085,0.0609846560524532,0.0615405256031618,0.062084627077084,0.0626006335484377,0.0629734665159627,0.0633570121976463,0.0637335689177778
